geography,year,topic,category,sub_category,value_description,value
North Melbourne,2016,Residents: Education,Education institution attendance,Attending,Count of persons,5461.0
North Melbourne,2016,Residents: Education,Education institution attendance,Not attending,Count of persons,7771.0
Parkville,2016,Residents: Education,Education institution attendance,Not attending,Count of persons,3158.0
South Yarra (inc. Melbourne Remainder),2016,Residents: Education,Education institution attendance,Not stated,Count of persons,802.0
Southbank,2016,Residents: Education,Education institution attendance,Not attending,Count of persons,11791.0
Southbank,2016,Residents: Education,Education institution attendance,Not stated,Count of persons,2435.0
West Melbourne (Residential),2016,Residents: Education,Education institution attendance,Not attending,Count of persons,3152.0
Carlton,2011,Residents: Education,Education institution type attending - overview,Infants/Primary,Count of persons attending an educational institution,288.0
Carlton,2011,Residents: Education,Education institution type attending - overview,Secondary,Count of persons attending an educational institution,281.0
Carlton,2011,Residents: Education,Education institution type attending - overview,Type of Educational Institution not stated,Count of persons attending an educational institution,1775.0
Docklands,2011,Residents: Education,Education institution type attending - overview,Pre-school,Count of persons attending an educational institution,21.0
Docklands,2011,Residents: Education,Education institution type attending - overview,Secondary,Count of persons attending an educational institution,104.0
Docklands,2011,Residents: Education,Education institution type attending - overview,Technical or Further Educational Institution,Count of persons attending an educational institution,110.0
Docklands,2011,Residents: Education,Education institution type attending - overview,Type of Educational Institution not stated,Count of persons attending an educational institution,929.0
East Melbourne,2011,Residents: Education,Education institution type attending - overview,Pre-school,Count of persons attending an educational institution,12.0
Greater Melbourne,2011,Residents: Education,Education institution type attending - overview,Infants/Primary,Count of persons attending an educational institution,302337.0
Greater Melbourne,2011,Residents: Education,Education institution type attending - overview,University or other Tertiary Institution,Count of persons attending an educational institution,213648.0
Greater Melbourne,2011,Residents: Education,Education institution type attending - overview,Other type of Educational Institution,Count of persons attending an educational institution,40567.0
Kensington,2011,Residents: Education,Education institution type attending - overview,Infants/Primary,Count of persons attending an educational institution,450.0
Kensington,2011,Residents: Education,Education institution type attending - overview,Secondary,Count of persons attending an educational institution,287.0
Kensington,2011,Residents: Education,Education institution type attending - overview,Technical or Further Educational Institution,Count of persons attending an educational institution,251.0
Kensington,2011,Residents: Education,Education institution type attending - overview,Other type of Educational Institution,Count of persons attending an educational institution,124.0
Melbourne (CBD),2011,Residents: Education,Education institution type attending - overview,Pre-school,Count of persons attending an educational institution,50.0
Melbourne (CBD),2011,Residents: Education,Education institution type attending - overview,Secondary,Count of persons attending an educational institution,291.0
Melbourne (CBD),2011,Residents: Education,Education institution type attending - overview,University or other Tertiary Institution,Count of persons attending an educational institution,5462.0
Melbourne (CBD),2011,Residents: Education,Education institution type attending - overview,Other type of Educational Institution,Count of persons attending an educational institution,460.0
Melbourne (CBD),2011,Residents: Education,Education institution type attending - overview,Type of Educational Institution not stated,Count of persons attending an educational institution,2773.0
City of Melbourne,2011,Residents: Education,Education institution type attending - overview,University or other Tertiary Institution,Count of persons attending an educational institution,19921.0
North Melbourne,2011,Residents: Education,Education institution type attending - overview,Infants/Primary,Count of persons attending an educational institution,435.0
North Melbourne,2011,Residents: Education,Education institution type attending - overview,Technical or Further Educational Institution,Count of persons attending an educational institution,328.0
North Melbourne,2011,Residents: Education,Education institution type attending - overview,University or other Tertiary Institution,Count of persons attending an educational institution,2058.0
Parkville,2011,Residents: Education,Education institution type attending - overview,Infants/Primary,Count of persons attending an educational institution,153.0
Parkville,2011,Residents: Education,Education institution type attending - overview,University or other Tertiary Institution,Count of persons attending an educational institution,2622.0
Parkville,2011,Residents: Education,Education institution type attending - overview,Other type of Educational Institution,Count of persons attending an educational institution,46.0
South Yarra (inc. Melbourne Remainder),2011,Residents: Education,Education institution type attending - overview,Secondary,Count of persons attending an educational institution,257.0
Southbank,2011,Residents: Education,Education institution type attending - overview,Other type of Educational Institution,Count of persons attending an educational institution,162.0
West Melbourne (Residential),2011,Residents: Education,Education institution type attending - overview,Technical or Further Educational Institution,Count of persons attending an educational institution,85.0
West Melbourne (Residential),2011,Residents: Education,Education institution type attending - overview,Other type of Educational Institution,Count of persons attending an educational institution,44.0
Carlton,2016,Residents: Education,Education institution type attending - overview,Pre-school,Count of persons attending an educational institution,57.0
Carlton,2016,Residents: Education,Education institution type attending - overview,Infants/Primary,Count of persons attending an educational institution,407.0
Docklands,2016,Residents: Education,Education institution type attending - overview,Infants/Primary,Count of persons attending an educational institution,127.0
Docklands,2016,Residents: Education,Education institution type attending - overview,Secondary,Count of persons attending an educational institution,137.0
Docklands,2016,Residents: Education,Education institution type attending - overview,Type of Educational Institution not stated,Count of persons attending an educational institution,1400.0
East Melbourne,2016,Residents: Education,Education institution type attending - overview,Infants/Primary,Count of persons attending an educational institution,93.0
Greater Melbourne,2016,Residents: Education,Education institution type attending - overview,Technical or Further Educational Institution,Count of persons attending an educational institution,80857.0
Greater Melbourne,2016,Residents: Education,Education institution type attending - overview,Other type of Educational Institution,Count of persons attending an educational institution,49898.0
Greater Melbourne,2016,Residents: Education,Education institution type attending - overview,Type of Educational Institution not stated,Count of persons attending an educational institution,289156.0
Kensington,2016,Residents: Education,Education institution type attending - overview,University or other Tertiary Institution,Count of persons attending an educational institution,1074.0
Kensington,2016,Residents: Education,Education institution type attending - overview,Other type of Educational Institution,Count of persons attending an educational institution,152.0
Melbourne (CBD),2016,Residents: Education,Education institution type attending - overview,Other type of Educational Institution,Count of persons attending an educational institution,1534.0
North Melbourne,2016,Residents: Education,Education institution type attending - overview,Pre-school,Count of persons attending an educational institution,97.0
Parkville,2016,Residents: Education,Education institution type attending - overview,Technical or Further Educational Institution,Count of persons attending an educational institution,66.0
Parkville,2016,Residents: Education,Education institution type attending - overview,Other type of Educational Institution,Count of persons attending an educational institution,65.0
Parkville,2016,Residents: Education,Education institution type attending - overview,Type of Educational Institution not stated,Count of persons attending an educational institution,911.0
South Yarra (inc. Melbourne Remainder),2016,Residents: Education,Education institution type attending - overview,Pre-school,Count of persons attending an educational institution,58.0
South Yarra (inc. Melbourne Remainder),2016,Residents: Education,Education institution type attending - overview,Secondary,Count of persons attending an educational institution,272.0
South Yarra (inc. Melbourne Remainder),2016,Residents: Education,Education institution type attending - overview,University or other Tertiary Institution,Count of persons attending an educational institution,516.0
South Yarra (inc. Melbourne Remainder),2016,Residents: Education,Education institution type attending - overview,Other type of Educational Institution,Count of persons attending an educational institution,48.0
Southbank,2016,Residents: Education,Education institution type attending - overview,Pre-school,Count of persons attending an educational institution,88.0
Southbank,2016,Residents: Education,Education institution type attending - overview,Type of Educational Institution not stated,Count of persons attending an educational institution,2421.0
